,Title,Author,Published date,Format,Sale Price,Old Price,Category
7980,Where the Crawdads Sing,Delia Owens,20 Dec 2019,Paperback,9.99,13.5,Fiction
7981,The Secret History,Donna Tartt,01 Jul 1995,Paperback,11.67,13.5,Fiction
7982,The Art of War,Sun Tzu,14 Oct 2011,Paperback,5.66,5.66,Fiction
7983,If We Were Villains: The Sensational TikTok Book Club pick,M. L. Rio,13 Jun 2017,Paperback,10.84,11.5,Fiction
7984,The Last Remains,Elly Griffiths,31 Jan 2023,Hardback,23.99,27.0,Fiction
7985,The Thursday Murder Club,Richard Osman,13 May 2021,Paperback,10.43,11.5,Fiction
7986,The Man Who Died Twice,Richard Osman,12 May 2022,Paperback,10.51,11.5,Fiction
7987,"Good Girl, Bad Blood",Holly Jackson,01 May 2020,Paperback,9.95,10.5,Fiction
7988,And Then There Were None,Agatha Christie,29 Mar 2011,Paperback,9.64,9.64,Fiction
7989,Anxious People,Fredrik Backman,19 Aug 2021,Paperback,11.42,13.5,Fiction
7990,The Agency for Scandal,Laura Wood,05 Jan 2023,Paperback,11.5,11.5,Fiction
7991,The Housemaid,Freida McFadden,26 Apr 2022,Paperback,14.33,14.33,Fiction
7992,The Silent Patient,Alex Michaelides,18 Feb 2020,Paperback,10.46,10.46,Fiction
7993,Notes on an Execution,Danya Kukafka,05 Jan 2023,Paperback,9.97,12.5,Fiction
7994,The Trees,Percival Everett,24 Mar 2022,Paperback,11.05,12.5,Fiction
7995,Twisted,Emily McIntire,07 Feb 2023,Paperback,10.65,11.5,Fiction
7996,Project Hail Mary,Andy Weir,06 Oct 2022,Paperback,11.53,12.5,Fiction
7997,The Last Tale of the Flower Bride,Roshani Chokshi,16 Feb 2023,Hardback,21.0,21.0,Fiction
7998,Heartstopper Volume 1,Alice Oseman,02 Feb 2023,Hardback,16.79,21.0,Graphic-Novels-Anime-and-Manga
7999,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,24 Jan 2023,Paperback,15.55,20.5,Graphic-Novels-Anime-and-Manga
8000,My Dress-up Darling 7,Shinichi Fukuda,31 Jan 2023,Paperback,14.93,19.0,Graphic-Novels-Anime-and-Manga
